trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",20,0,-66.37183347616867,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9409}",25,0,-53.66629382695007,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.912673}",25,0,-92.89867244487466,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8852928099999999}",20,14,-7.602029306943978,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.8587340256999999}",30,0,-49.504269564426316,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8329720049289998}",20,5,-95.58709637543734,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.8079828447811298}",30,0,-174.8080877063305,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.7837433594376959}",25,3,-34.64630638415195,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.7602310586545651}",20,0,-32.436130388380484,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.7374241268949281}",20,0,-45.30535725942311,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.7153014030880802}",25,0,-132.05020998651287,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.6938423609954377}",30,12,-12.755207315534689,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.6730270901655746}",30,0,-93.50510712933968,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
